Date,FSI_Raw,FSI,News
2017-08-01,0.5603681040888436,0.6781228253820288,无特定事件
2017-09-01,0.6307434610341103,0.6752800635211538,无特定事件
2017-10-01,0.6543621094006509,0.6740249862739236,无特定事件
2017-11-01,0.6552160409552744,0.6728964495548047,无特定事件
2017-12-01,0.5813210791641514,0.6674019273313655,无特定事件
2018-01-01,0.803464139276883,0.6755656600480966,无特定事件
2018-02-01,0.6957205435651115,0.6767749530591175,无特定事件
2018-03-01,0.6653691787561847,0.6760906066009416,无特定事件
2018-04-01,0.5216454411062499,0.6668238966712601,无特定事件
2018-05-01,0.4798417203158134,0.6556049660899332,无特定事件
2018-06-01,0.5362634818207954,0.6484444770337849,无特定事件
2018-07-01,0.375605077141453,0.632074113040245,无特定事件
2018-08-01,0.35795758271874034,0.6156271212209546,无特定事件
2018-09-01,0.37139292443348465,0.6009730694137064,无特定事件
2018-10-01,0.3332486624179532,0.5849096049939613,中美贸易战加剧，股市波动增大。
2018-11-01,0.32752417395064465,0.5694664791313623,无特定事件
2018-12-01,0.3478358639018371,0.5561686422175908,无特定事件
2019-01-01,0.31446554206933724,0.5416664562086956,无特定事件
2019-02-01,0.2727025738709439,0.5255286232684304,无特定事件
2019-03-01,0.4802600593700478,0.5228125094345275,无特定事件
2019-04-01,0.2565025180021729,0.5068339099485862,无特定事件
2019-05-01,0.2509783802134991,0.491482578164481,无特定事件
2019-06-01,0.1972962682582965,0.4738313995701099,无特定事件
2019-07-01,0.2321877656624988,0.4593327815356532,无特定事件
2019-08-01,0.26616793342991274,0.4477428906493088,无特定事件
2019-09-01,0.2187819503847898,0.4340052342334376,无特定事件
2019-10-01,0.26139509458621185,0.42364862585460406,无特定事件
2019-11-01,0.27956402590709584,0.41500354985775356,无特定事件
2019-12-01,0.28901058638376986,0.40744397204931454,无特定事件
2020-01-01,0.25342490172552634,0.39820282782988725,无特定事件
2020-02-01,0.3735617222782449,0.3967243614967887,COVID-19疫情爆发，经济不确定性上升。
2020-03-01,0.36204165886761064,0.394643399339038,疫情高峰，房产危机触发，GDP负增长。
2020-04-01,0.37797793744305286,0.3936434716252789,无特定事件
2020-05-01,0.4655348407394939,0.3979569537721318,无特定事件
2020-06-01,0.32930103660738275,0.3938375987422469,无特定事件
2020-07-01,0.32547456298237926,0.38973581659665485,无特定事件
2020-08-01,0.34814834078657786,0.38724056804805024,无特定事件
2020-09-01,0.2454042738725607,0.3787303903975209,无特定事件
2020-10-01,0.31952560203534547,0.37517810309579036,无特定事件
2020-11-01,0.339890832610985,0.37306086686670203,无特定事件
2020-12-01,0.4539195858285602,0.3779123900044135,无特定事件
2021-01-01,0.30767553355435706,0.3736981786174101,无特定事件
2021-02-01,0.2924872578657906,0.36882552337231295,2021上半年经济高增长，出口强劲，工业生产全面恢复。
2021-03-01,0.2766291539979841,0.3632937412098532,无特定事件
2021-04-01,0.2538237630249574,0.35672554251875943,无特定事件
2021-05-01,0.291761243039689,0.35282768455001523,2021年中国疫情控制全球最佳，经济强劲反弹，一季度GDP同比18.3%。
2021-06-01,0.29597943380150077,0.34941678950510435,无特定事件
2021-07-01,0.3027945947495796,0.3466194578197729,无特定事件
2021-08-01,0.30413272072202624,0.3440702535939081,无特定事件
2021-09-01,0.36634629530772644,0.3454068160967372,无特定事件
2021-10-01,0.3611457886528111,0.3463511544501016,无特定事件
2021-11-01,0.42410362203956586,0.3510163025054695,无特定事件
2021-12-01,0.4694248909055568,0.35812081780947475,2021全年GDP增长8.1%，全球主要经济体中最强，金融压力显著缓解。
2022-01-01,0.31602422103247757,0.3555950220028549,房产市场持续下行，三条红线政策影响。
2022-02-01,0.3283391395732331,0.3539596690570776,无特定事件
